Id;SerialNumber;JobNr;Model;Description;Customer;FinalUser;Country;ManufactureDate;InstallationDate;MaterialType;ProductionRate;TotalPower;TotalWater;Certification
217;268;P23-011;A-S-AC;A-S-AC-RF-TB-MSC-CE-400/50-AB;UKE / Berry bpi - Bromborough;UKE / Berry bpi - Bromborough;;2023-01;2023-01;PE-PP;75;25;;
218;355;P24-028;A-S-HC;A-S-HC-TB-MSC-2-CE-480/60-NOAB;EXTRUSION AUTOMATION;EXTRUSION AUTOMATION;;2024-01;2024-01;PE-PP;75;25;;
219;356;P24-028;A-S-HC;A-S-HC-TB-MSC-2-CE-480/60-NOAB;EXTRUSION AUTOMATION;EXTRUSION AUTOMATION;;2024-01;2024-01;PE-PP;75;25;;
220;349; P24-027;A-S-HC;A-S-HC-TB-MSC-CE-480/60Hz-NOAB;EXTRUSION AUTOMATION ;EXTRUSION AUTOMATION ;;2024-01;2024-01;PE-PP;75;25;;
221;357;P24-032;A-S-PLUS;A-S-PLUS-AC-RF-TB-MSC-2-CE-400/50-AB;UK EXTRUSION;UK EXTRUSION;;2024-01;2024-01;PE-PP;90;33;;
222;262;P22-064;A-S-PLUS;A-S-PLUS-AC-RF-TB-MSC-CE-400/50-AB;DANAFILMS;DANAFILMS;;2023-01;2023-01;PE-PP;90;33;;
223;281;P22-064;A-S-PLUS;A-S-PLUS-AC-RF-TB-MSC-CE-400/50-AB;DANAFILMS;DANAFILMS;;2023-01;2023-01;PE-PP;90;33;;
224;244;P22-052;A-S-PLUS;A-S-PLUS-AC-RF-TB-MSC-CE-400-60Hz-3N-SR;SIGMAPLAST;SIGMAPLAST;;2022-01;2022-01;PE-PP;90;33;;
225;245;P22-053;A-S-PLUS;A-S-PLUS-AC-RF-TB-MSC-CE-480-60Hz-3N-SR;TINFLEX;TINFLEX;;2022-01;2022-01;PE-PP;90;33;;
226;353; P24-032;A-S-PLUS;A-S-PLUS-AC-TB-RF-MSC-3N-400V-50Hz;UK EXTRUSION - FLEXIPOL;UK EXTRUSION - FLEXIPOL;;2024-01;2024-01;PE-PP;90;33;;
227;322;P24-013;A-S-PLUS;A-S-PLUS-HC-RF-TB-MSC-CE-400/50-AB;ARDAN - PLASTOPIL;ARDAN - PLASTOPIL;;2024-01;2024-01;PE-PP;90;33;;
228;329;2024.03.PRS;A-XM-HC;A-XM-HC-RF-TB-0-3-CE-400/50-AB;PLASMAC;PLASMAC;;2024-01;2024-01;PE-PP;130;50;;
229;331;P24-001;A-XS-AC;A-XS-13-2N-N-0-M-A1C4F6C-0-X-S-NR-0;PLASMAC;PLASMAC;;2024-01;2024-01;PE-PP;45;20;;
230;332;P24-002;A-XS-AC;A-XS-13-2N-N-0-M-A1C4F6C-0-X-S-NR-0;PLASMAC;PLASMAC;;2024-01;2024-01;PE-PP;45;20;;
231;333;P24-003;A-XS-AC;A-XS-13-2N-N-0-M-A1C4F6C-0-X-S-NR-0;PLASMAC;PLASMAC;;2024-01;2024-01;PE-PP;45;20;;
232;334;P24-004;A-XS-AC;A-XS-13-2N-N-0-M-A1C4F6C-0-X-S-NR-0;PLASMAC;PLASMAC;;2024-01;2024-01;PE-PP;45;20;;
233;127;P20-040;A-XS-AC;A-XS-AC-0-B&R-CE-4003N-NOSR;Easypack;Easypack;;2021-01;2021-01;PE-PP;45;20;;
234;200;P21-021;E-M-HC;E-60;Plasmac srl;Plasmac srl;;2022-01;2022-01;PE-PP;75;42;;
235;177;P21-047;E-M-HC;E-60-HC-00-RF-HF-MSC-CE-400-3N;PROTEC SCANDINAVIA SWEDEN AB / Quantafuel Kristiansund AS;PROTEC SCANDINAVIA SWEDEN AB / Quantafuel Kristiansund AS;;2022-01;2022-01;PE-PP;75;42;;
236;209;P21-055;E-M-HC;E-60-HC-00-RF-TB-MSC-CE-480-3N;Syncro USA / Imaflex;Syncro USA / Imaflex;;2022-01;2022-01;PE-PP;75;42;;
237;115;P22-044;E-M-HC;E-60-HC-HF-RF-V-MCF-B&R-CE-4003N-NOSR;ANKATEKNIK PLASTIK / AK SEDEF;ANKATEKNIK PLASTIK / AK SEDEF;;2021-01;2021-01;PE-PP;75;42;;
238;139;P21-010;E-M-HC;E-60-HC-RF-TB-HF-0-MCF-B&R-CE-4003N-NOSR;Plasmac;Plasmac;;2021-01;2021-01;PE-PP;75;42;;
239;100;P20-023;E-M-HC;E-60-HC-TB-0-0-MCF-B&R-CE-4003N-NOSR;Syncro  Usa / Norflex (USA);Syncro  Usa / Norflex (USA);;2021-01;2021-01;PE-PP;75;42;;
240;123;P20-023;E-M-HC;E-60-HC-TB-0-0-MCF-B&R-CE-4003N-NOSR;Syncro  Usa / Norflex (USA);Syncro  Usa / Norflex (USA);;2021-01;2021-01;PE-PP;75;42;;
241;124;P20-023;E-M-HC;E-60-HC-TB-0-0-MCF-B&R-CE-4003N-NOSR;Syncro  Usa / Norflex (USA);Syncro  Usa / Norflex (USA);;2021-01;2021-01;PE-PP;75;42;;
242;125;P20-023;E-M-HC;E-60-HC-TB-0-0-MCF-B&R-CE-4003N-NOSR;Syncro  Usa / Imaflex;Syncro  Usa / Imaflex;;2021-01;2021-01;PE-PP;75;42;;
243;126;P20-023;E-M-HC;E-60-HC-TB-0-0-MCF-B&R-CE-4003N-NOSR;Syncro Usa / Norflex (USA);Syncro Usa / Norflex (USA);;2021-01;2021-01;PE-PP;75;42;;
244;176;P21-020;E-L-AC;E-70-AC-2-RF-MSC-CE-400-3N-SR;UKE / Berry Greenock ;UKE / Berry Greenock ;;2022-01;2022-01;PE-PP;130;57;;
245;188;P21-056;E-L-HC;E-70-HC-2-RF-TB-MSC-CE-400-3N-NOSR;EDENPLAST;EDENPLAST;;2022-01;2022-01;PE-PP;130;59;;
246;248;P22-037;E-L-HC;E-L-HC-V-MSC-CE-230/60-3N;AGRICOMINSA;AGRICOMINSA;;2023-01;2023-01;PE-PP;130;59;;
247;15;P19-006;O-XS-HC;O-120-ECO-AC-RF;OP Nilsson;OP Nilsson;;2019-01;2019-01;PE-PP;120;61;;
